iter	RMSE
146	0.2815864866
147	0.281276705
148	0.2809776504
149	0.2807027102
150	0.2804465032
151	0.280158213
152	0.2798634111
153	0.279569303
154	0.2793179527
155	0.2790512848
156	0.2787917551
157	0.2785310591
158	0.2782686594
159	0.2779243571
160	0.2775558521
161	0.2772967231
162	0.2770481573
163	0.2767844083
164	0.2765359208
165	0.2762801761
166	0.2760201116
167	0.275768303
168	0.2755161551
169	0.2752968939
170	0.2750642465
171	0.2748406065
172	0.27458674
173	0.2743452004
174	0.2741185185
175	0.2739007
176	0.2737143758
177	0.273467159
178	0.2732387126
179	0.2730487504
180	0.2728232384
181	0.2726124685
182	0.2724399189
183	0.2722427671
184	0.2720208669
185	0.2718456861
186	0.2716421093
187	0.2714596261
188	0.2712815582
189	0.2710512248
190	0.2708278181
191	0.2706401735
192	0.2704429647
193	0.2702320524
194	0.2700221945
195	0.2698686893
196	0.2697003987
197	0.2695468185
198	0.2693482047
199	0.2691902606
200	0.26901833
201	0.2688373305
202	0.26865067
203	0.2684651231
204	0.2682762091
205	0.2681149771
206	0.2679672245
207	0.2677845809
208	0.2675717476
209	0.2674113944
210	0.2672047877
211	0.2670275072
212	0.2668629274
213	0.2666766389
214	0.2664833272
215	0.2663383581
216	0.2661666478
217	0.2659798652
218	0.2658200442
219	0.2656208234
220	0.2654572603
221	0.2652858138
222	0.2651353528
223	0.2649564996
224	0.2647785273
225	0.2646543007
226	0.2644814641
227	0.264353049
228	0.264212747
229	0.2640646183
230	0.2639141629
231	0.2637244352
232	0.2635526808
233	0.2634093948
234	0.2632936835
235	0.2631630819
236	0.2630084715
237	0.2628392238
238	0.2626824654
239	0.2625182557
240	0.262372592
241	0.2622239566
242	0.2620997543
243	0.2619512258
244	0.2618036299
245	0.2616687558
246	0.2615552284
247	0.2614318621
248	0.2612938051
249	0.2611699927
250	0.2610382885
251	0.2609034227
252	0.2607926599
253	0.2606666464
254	0.2605002996
255	0.2603835266
256	0.2602670567
257	0.2601395474
258	0.2600218893
259	0.2599032058
260	0.2597576115
261	0.2596367344
262	0.2594638837
263	0.2593294049
264	0.2592116637
265	0.2590904111
266	0.2589519708
267	0.2588447633
268	0.2587451229
269	0.2586217333
270	0.2585055078
271	0.2583745129
272	0.2582421041
273	0.2581392186
274	0.2580456393
275	0.2579370777
276	0.2578149121
277	0.2577246735
278	0.257589367
279	0.2574795159
280	0.2573659824
281	0.2572487489
282	0.257162094
283	0.2570190185
284	0.2569142387
285	0.2567986543
286	0.2566998634
287	0.2565624752
288	0.2564613189
289	0.2563588103
290	0.2562536058
291	0.2561167061
292	0.2560179149
293	0.2559286548
294	0.2558453597
295	0.2557090495
296	0.2555380693
297	0.255416345
298	0.2553207727
299	0.2551949211
300	0.2550029301
301	0.2548871031
302	0.2547676841
303	0.2546364337
304	0.2545322066
305	0.2543725726
306	0.254192062
307	0.2540214333
308	0.2538754201
309	0.2537591748
310	0.253646221
311	0.2535011371
312	0.2533983176
313	0.2532903828
314	0.2531789531
315	0.2530775841
316	0.2529583897
317	0.2527775602
318	0.2526403278
319	0.252561459
320	0.2524758795
321	0.2523137235
322	0.2522300509
323	0.2521402905
324	0.2520552264
325	0.2519708545
326	0.2518627781
327	0.2517663961
328	0.2516504584
329	0.2515604884
330	0.25147425
331	0.2513168886
332	0.2512478965
333	0.2511563656
334	0.2510628944
335	0.250955087
336	0.2508473579
337	0.2507343558
338	0.2506238491
339	0.2505552511
340	0.2504232622
341	0.2502983083
342	0.2501882144
343	0.2500685088
344	0.2499924769
345	0.2499182949
346	0.2498458901
347	0.24976865
348	0.2496126094
349	0.2494605447
350	0.2494035484
351	0.24929613
352	0.249208086
353	0.2491142109
354	0.2489920378
355	0.2489156507
356	0.2487478064
357	0.2486539557
358	0.2485715165
359	0.2484370684
360	0.2483136125
361	0.2481806835
362	0.2480673456
363	0.2479798717
364	0.2478898921
365	0.2477932593
366	0.2477240128
367	0.2476576414
368	0.2475681057
369	0.2474454542
370	0.2473539797
371	0.2472741676
372	0.2471952714
373	0.2470725006
374	0.2470005448
375	0.2468946577
376	0.2468224717
377	0.2467560897
378	0.2466695771
379	0.246512302
380	0.2464548584
381	0.2463776124
382	0.2462435448
383	0.2461411881
384	0.246062937
385	0.2459373237
386	0.2458018006
387	0.2457251653
388	0.245642479
389	0.2455725379
390	0.2454708247
391	0.2454019201
392	0.2453387594
393	0.2452641392
394	0.2451443522
395	0.2450607513
396	0.2450184349
397	0.2449401142
398	0.2448575778
399	0.2447885952
400	0.2447074781
401	0.2446492873
402	0.2445759116
403	0.2445224114
404	0.2444618831
405	0.2443889624
406	0.2442485044
407	0.24411374
408	0.2440346487
409	0.2439562512
410	0.2438700007
411	0.243766407
412	0.2437176741
413	0.243623539
414	0.2435653154
415	0.2434862233
416	0.2433670251
417	0.2432662782
418	0.2431755801
419	0.2430946692
420	0.2430120603
421	0.2429274588
422	0.2428047136
423	0.2426877016
424	0.2425746788
425	0.2424856144
426	0.2424117829
427	0.242331217
428	0.2422666674
429	0.2421849892
430	0.2421188578
431	0.2420353959
432	0.241951548
433	0.2418621974
434	0.2417933397
435	0.2417199382
436	0.2416510569
437	0.2415501262
438	0.2414913058
439	0.2414171995
440	0.2413230745
441	0.2412536491
442	0.2411330129
443	0.2410558591
444	0.2409710178
445	0.2409174395
446	0.2408111659
447	0.2407378808
448	0.2406740944
449	0.2406143595
450	0.2405304035
451	0.2404157025
452	0.2403576936
453	0.2403073299
454	0.2402361163
455	0.2401533163
456	0.2400972042
457	0.2400135351
458	0.239961857
459	0.2399047865
460	0.2398310707
461	0.2397916512
462	0.2397166363
463	0.2396422846
464	0.2395867676
465	0.2395192531
466	0.2394611178
467	0.2394031456
468	0.239336157
469	0.2392485233
470	0.2391666587
471	0.2390944403
472	0.2389943368
473	0.2388908181
474	0.2388425529
475	0.238786207
476	0.2387192304
477	0.2386431897
478	0.2385777137
479	0.2385059952
480	0.238398916
481	0.2383398364
482	0.2382852104
483	0.2382294738
484	0.238143531
485	0.2380626752
486	0.2379998764
487	0.2379113271
488	0.237871283
489	0.2378181794
490	0.2377570517
491	0.237691009
492	0.2376309279
493	0.2375494584
494	0.2374877267
495	0.2374396999
496	0.2373761506
497	0.237294516
498	0.2372422088
499	0.2371649773
