iter	Logloss
0	0.6167631861
1	0.5815468129
2	0.5560254312
3	0.5291459572
4	0.5133544082
5	0.499910437
6	0.4887211841
7	0.4776864709
8	0.4685058057
9	0.4618408326
10	0.4552796759
11	0.4499978466
12	0.4447342914
13	0.4369746459
14	0.432208816
15	0.4262584628
16	0.4214869065
17	0.4158043499
18	0.411279704
19	0.4070089778
20	0.4015526186
21	0.3981337981
22	0.3931230201
23	0.3894225204
24	0.3847304939
25	0.3807953494
26	0.3765137099
27	0.3717301565
28	0.3672742775
29	0.3621315331
30	0.3575862157
31	0.352056952
32	0.3475557409
33	0.34319749
34	0.338929474
35	0.334027654
36	0.330257224
37	0.3268328643
38	0.3238528661
39	0.3199117201
40	0.3162222344
41	0.312048774
42	0.3085539721
43	0.3051565237
44	0.3024834936
45	0.2997391408
46	0.296726518
47	0.2936519289
48	0.2906269549
49	0.2879959435
50	0.2852346528
51	0.2826772703
52	0.2801046861
53	0.2775343083
54	0.2749555718
55	0.2722188019
56	0.2699113238
57	0.268732355
58	0.265882792
59	0.263611571
60	0.262683536
61	0.2600057985
62	0.2573892447
63	0.2563484863
64	0.2541867429
65	0.2531536794
66	0.2503327803
67	0.2478122032
68	0.2454750917
69	0.2437142195
70	0.2428456631
71	0.240820863
72	0.2386523863
73	0.2365878561
74	0.2342132613
75	0.2324384723
76	0.2305407974
77	0.2287860076
78	0.2277903379
79	0.2270451837
80	0.2251776145
81	0.224451607
82	0.2227886667
83	0.221104724
84	0.2191555319
85	0.2171164299
86	0.2159315871
87	0.2146992946
88	0.2129032856
89	0.2115938659
90	0.210936786
91	0.2090338614
92	0.2071335151
93	0.2057032686
94	0.2039720149
95	0.2021375932
96	0.2001870209
97	0.1985452829
98	0.1980795569
99	0.1964854304
100	0.1949819687
101	0.1927612138
102	0.1922403538
103	0.1908407807
104	0.1892054765
105	0.187433137
106	0.1864437752
107	0.1854933294
108	0.1851590649
109	0.1836031666
110	0.1820403391
111	0.1815863146
112	0.1801967872
113	0.1787323896
114	0.1773145766
115	0.1758815646
116	0.1746708974
117	0.1733262755
118	0.1717979831
119	0.1709685663
120	0.1699866187
121	0.1685667041
122	0.1669134533
123	0.1664988103
124	0.1651389322
125	0.1633313261
126	0.1627316867
127	0.161240022
128	0.1609249161
129	0.1596477758
130	0.1582915292
131	0.1571941658
132	0.1560275334
133	0.1551006588
134	0.1548662194
135	0.1544277511
136	0.1531692481
137	0.1521333971
138	0.1508709352
139	0.1505305384
140	0.1494968064
141	0.1485939771
142	0.1477223606
143	0.1472792975
144	0.146405078
145	0.1455392211
146	0.145160392
147	0.1440484916
148	0.1437152094
149	0.142989682
150	0.1428089248
151	0.1412857836
152	0.1410051809
153	0.1406823565
154	0.1395369448
155	0.1390357225
156	0.1381484396
157	0.1373342448
158	0.1370416365
159	0.1359238199
160	0.1348613615
161	0.1339298079
162	0.1331490619
163	0.1325803614
164	0.1315022067
165	0.1313345443
166	0.1303184915
167	0.1300549807
168	0.1290535593
169	0.1282967212
170	0.1275557223
171	0.1272380457
172	0.1265834344
173	0.1257021249
174	0.125410972
175	0.1246455189
176	0.1244852295
177	0.1238864535
178	0.1228635139
179	0.122310645
180	0.1212656474
181	0.120289437
182	0.1201400382
183	0.1190734247
184	0.118828354
185	0.1180684592
186	0.1178368363
187	0.1170808923
188	0.1167711667
189	0.1158753649
190	0.115148008
191	0.1149331575
192	0.114211203
193	0.1132896365
194	0.1124995476
195	0.1122310643
196	0.1115976834
197	0.1114589212
198	0.1108943469
199	0.1105974615
200	0.1103440942
201	0.1101644874
202	0.1096685652
203	0.1095439354
204	0.1090498232
205	0.1087083964
206	0.1079609774
207	0.1072419249
208	0.1066729816
209	0.1065685241
210	0.1059328796
211	0.1057617251
212	0.1048209752
213	0.1045971829
214	0.1039609228
215	0.1031757173
216	0.1024004878
217	0.1019743074
218	0.1018717289
219	0.1013510122
220	0.1005139759
221	0.09976754958
222	0.09911665055
223	0.0989284807
224	0.09873989246
225	0.09831214887
226	0.09756769941
227	0.09702302364
228	0.09670908643
229	0.0965997535
230	0.09650804556
231	0.09591499287
232	0.09544926467
233	0.09482110075
234	0.09443369661
235	0.09371603724
236	0.09354445161
237	0.09339357293
238	0.09258798847
239	0.09228779566
240	0.09215198304
241	0.09186175295
242	0.09133990946
243	0.09104172056
244	0.09065385302
245	0.09052107711
246	0.08993815925
247	0.08932871235
248	0.08877936952
249	0.08824625275
250	0.08815931264
251	0.08752762381
252	0.08736271406
253	0.08670292588
254	0.08626991009
255	0.08612627458
256	0.08565288407
257	0.08551718646
258	0.08497048555
259	0.08453869521
260	0.08439192961
261	0.08431171301
262	0.08402210629
263	0.08359624498
264	0.08341413059
265	0.08292610882
266	0.08281916266
267	0.0825883445
268	0.08212620626
269	0.0816773545
270	0.08115806982
271	0.08071207871
272	0.08044561885
273	0.08004957799
274	0.0794646282
275	0.07931987367
276	0.07894531672
277	0.07869915527
278	0.07809229789
279	0.0776658713
280	0.07759490338
281	0.07703993002
282	0.07688404866
283	0.07681617095
284	0.07644433834
285	0.07631185606
286	0.07613307656
287	0.07579871019
288	0.0750845072
289	0.07465055538
290	0.07419351828
291	0.07412623753
292	0.07366583388
293	0.07321350736
294	0.07274297661
295	0.07225006626
296	0.07218042638
297	0.07181525424
298	0.07166134528
299	0.07160481428
300	0.0712927442
301	0.07091033712
302	0.07054702689
303	0.07042360872
304	0.07033458843
305	0.069915935
306	0.06946897725
307	0.06904725897
308	0.06893801419
309	0.06888076578
310	0.06843051474
311	0.06805329502
312	0.06752661025
313	0.06743918035
314	0.06696166872
315	0.06680730989
316	0.06650540532
317	0.06640859835
318	0.06628676278
319	0.06584138649
320	0.06544638246
321	0.0649799157
322	0.06493039727
323	0.06448195098
324	0.06400454403
325	0.06368514403
326	0.06352827154
327	0.06331566834
328	0.06293497589
329	0.0628829412
330	0.06276189154
331	0.06245938571
332	0.06208415735
333	0.06181197237
334	0.06173384559
335	0.06158761144
336	0.06150572996
337	0.0611957774
338	0.06095197858
339	0.06064590921
340	0.06056560813
341	0.06032864371
342	0.06026015703
343	0.06021446974
344	0.05978741873
345	0.05939674985
346	0.05914139596
347	0.05905408814
348	0.05900909636
349	0.05871311088
350	0.05840637186
351	0.05805049656
352	0.05774404303
